polf;country;rapd;drtb;deb;fin;dlab
fm I;DE;2.8277874152341895;-0.4250323311912183;1982;1986;1982
fm I;ES;4.33412350361503;-0.21742947266075197;1982;1986;1982
fm I;FR;3.452266312468869;-0.3522509261561746;1982;1986;1982
fm I;GB;2.8890356671070014;-0.6260963103320136;1982;1986;1982
fm I;IT;2.427120365667852;-0.2815814594670982;1982;1986;1982
fm I;NL;2.5845025099755436;-0.4373779400466;1982;1986;1982
fm I;US;4.231402528668039;-0.4123432538842553;1982;1986;1982
fm cohab I;DE;3.006403415154749;-0.48261957858576743;1987;1988;1987
fm cohab I;ES;4.383894713361588;-0.2821986787213857;1987;1988;1987
fm cohab I;FR;3.7487782420851334;-0.3831293533470703;1987;1988;1987
fm cohab I;GB;3.097587203441091;-0.6103683685819983;1987;1988;1987
fm cohab I;IT;2.7885912633440304;-0.25454478800245117;1987;1988;1987
fm cohab I;NL;2.625653943034296;-0.43437316034308204;1987;1988;1987
fm cohab I;US;4.64980662773944;-0.42164596656415365;1987;1988;1987
fm II;DE;3.0163422254265804;-0.5240285753407874;1989;1993;1989
fm II;ES;4.401632020966109;-0.24130092171616613;1989;1993;1989
fm II;FR;3.72012889730616;-0.38828572462228816;1989;1993;1989
fm II;GB;3.2900450634985665;-0.5909093261266372;1989;1993;1989
fm II;IT;2.903187409072874;-0.25865895460855826;1989;1993;1989
fm II;NL;2.5827134436694035;-0.40700245530501356;1989;1993;1989
fm II;US;4.710733981292465;-0.46031072576400445;1989;1993;1989
fm cohab II;DE;2.949017525225703;-0.4542762612361535;1994;1995;1994
fm cohab II;ES;4.360053440213761;-0.20725781373615493;1994;1995;1994
fm cohab II;FR;3.6324654361709587;-0.4092590914667047;1994;1995;1994
fm cohab II;GB;3.512164604476574;-0.6560084202684728;1994;1995;1994
fm cohab II;IT;3.1236613457264095;-0.23890601786819143;1994;1995;1994
fm cohab II;NL;2.714174150722374;-0.3999291687117019;1994;1995;1994
fm cohab II;US;4.696545426875665;-0.5333960960337929;1994;1995;1994
jc I;DE;2.9816281701391203;-0.5018348554293142;1996;1997;1996
jc I;ES;4.1636682755594565;-0.2528988307076425;1996;1997;1996
jc I;FR;3.534818941504179;-0.46838908174250093;1996;1997;1996
jc I;GB;3.6600084400056274;-0.6700615878863911;1996;1997;1996
jc I;IT;3.164627965128066;-0.27399780847967126;1996;1997;1996
jc I;NL;2.756253673829273;-0.39723110899193337;1996;1997;1996
jc I;US;4.984927356071789;-0.5441331011430464;1996;1997;1996
jc cohab I;DE;3.100677637947726;-0.523545230781814;1998;2002;1998
jc cohab I;ES;3.9121115606438837;-0.28892371358915403;1998;2002;1998
jc cohab I;FR;3.7417391058130645;-0.42962149358999535;1998;2002;1998
jc cohab I;GB;3.7255245744019008;-0.7058344824866216;1998;2002;1998
jc cohab I;IT;3.428879191294261;-0.2503955154394908;1998;2002;1998
jc cohab I;NL;2.7878192534381143;-0.4429527952374628;1998;2002;1998
jc cohab I;US;5.193344898281029;-0.5037023743628517;1998;2002;1998
jc II;DE;3.452266312468869;-0.4950825129861385;2003;2007;2003
jc II;ES;3.7431823974173817;-0.350396647043018;2003;2007;2003
jc II;FR;3.7115053247083423;-0.4284176017716035;2003;2007;2003
jc II;GB;4.08367738559051;-0.6634927306912177;2003;2007;2003
jc II;IT;3.3816861104996696;-0.278678648655335;2003;2007;2003
jc II;NL;3.006083082094928;-0.4609404648656985;2003;2007;2003
jc II;US;5.520813165537269;-0.5005473759870291;2003;2007;2003
ns;DE;3.9776496034607067;-0.46866912204117117;2008;2012;2008
ns;ES;4.161358252171624;-0.23391947985611639;2008;2012;2008
ns;FR;3.607867309200941;-0.4062027947617606;2008;2012;2008
ns;GB;3.6989502201151367;-0.71419909402117;2008;2012;2008
ns;IT;3.4131082423038728;-0.27226640943278757;2008;2012;2008
ns;NL;2.9506041694330105;-0.4409806429630092;2008;2012;2008
ns;US;5.606595689431316;-0.588629616081531;2008;2012;2008
fh;DE;4.461768577240637;-0.36673343210425835;2013;2017;2013
fh;ES;4.3187320567082015;-0.16832501718109905;2013;2017;2013
fh;FR;3.4450344312619268;-0.4263486390089759;2013;2017;2013
fh;GB;3.5505508297308603;-0.7574380970949506;2013;2017;2013
fh;IT;3.583892617449664;-0.218312034338761;2013;2017;2013
fh;NL;2.920214034065322;-0.44324814316588546;2013;2017;2013
fh;US;5.905104170116921;-0.5839602569631328;2013;2017;2013
em;DE;4.3004926108374395;-0.34925680143007565;2018;2020;2020
em;ES;4.314265989447212;-0.1358121332538762;2018;2020;2020
em;FR;3.3910050481872425;-0.44839422931684436;2018;2020;2020
em;GB;3.695128832048147;-0.58108374240235094;2018;2020;2020
em;IT;3.7322455908705088;-0.24166350702709916;2018;2020;2020
em;NL;2.965433192998006;-0.4345983547805776;2018;2020;2020
em;US;6.066543902234869;-0.5275870281833346;2018;2019;2019
